Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	18.553488	8.371362	56.0	9.0	18.553488	0.0010897241	0.07949447	0.20503956	-0.25300658	4000	2.9087067e-08	186.25694	-0.015028065	-130.9852	0.6871095	0.0073056025	0.16225	79.0	8.191896200180054
1	22.884394	12.088233	66.0	9.0	22.884394	9.113502	1.308343	13.535326	-0.88560957	8000	-3.2544136e-08	121.063194	-0.011588665	-44.775864	0.69324654	0.016660979	0.30475	12.0	14.702411651611328
2	29.145985	16.70025	97.0	10.0	29.145985	14.269319	2.0726519	17.099064	2.857308	12000	-1.704693e-08	144.11272	-0.015968272	-27.140434	0.6809203	0.018176213	0.228	13.0	19.92597723007202
3	45.436783	31.961435	197.0	10.0	45.436783	17.906248	4.1925535	22.876284	-0.4768229	16000	-1.9073487e-09	410.2444	-0.018054187	-102.323456	0.65539306	0.0076214965	0.08575	79.0	25.932043075561523
4	59.49254	41.22431	198.0	16.0	59.49254	25.688057	3.762215	29.179216	-1.6909208	20000	-1.680851e-08	457.96066	-0.01819479	-81.03641	0.64246887	0.009469145	0.077	79.0	31.961405754089355
5	112.77143	56.392544	200.0	17.0	112.77143	31.73319	5.216255	35.884415	-6.788728	24000	-1.0251999e-08	670.2516	-0.012191128	-229.37296	0.62220913	0.0057468615	0.0625	79.0	37.53340792655945
6	155.56	39.267372	200.0	49.0	155.56	43.383312	6.6175127	46.16612	-2.0426495	28000	-2.0861625e-08	512.21387	-0.0075676935	-136.06943	0.6100325	0.0028514008	0.0325	79.0	42.87744331359863
7	181.71428	37.99767	200.0	49.0	181.71428	49.272602	8.052704	53.632027	4.2109375	32000	-1.5497208e-09	493.43176	-0.004047733	-106.47351	0.60249394	0.0030918105	0.03325	79.0	48.2281551361084
8	190.55	25.176329	200.0	95.0	190.55	55.81392	7.9478393	60.015854	6.5160465	36000	1.3828277e-08	428.9517	-0.002625525	-89.24664	0.5868784	0.0026783599	0.0205	79.0	53.516215085983276
9	194.2	20.505121	200.0	106.0	194.2	54.091267	11.505973	63.956043	2.6572962	40000	2.6464463e-08	456.6164	-0.0027794547	-61.702026	0.58133197	0.0054263743	0.02725	79.0	59.283700942993164
