Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.8306	11.816852	107.0	9.0	21.8306	0.001981078	0.29136428	0.84232736	-0.85096765	4000	1.3810396e-07	285.5825	-0.01582396	-25.177704	0.69223857	0.006923996	0.14075	79.0	5.767398118972778
1	24.530865	13.117782	79.0	8.0	24.530865	0.85689795	0.3593442	1.7819756	-1.2512718	8000	9.965897e-08	310.00543	-0.015540419	-49.542267	0.69100094	0.008816689	0.09675	79.0	10.359326839447021
2	31.1875	19.809149	132.0	10.0	31.1875	2.6654985	0.26942262	3.3848932	0.055296138	12000	7.6174736e-08	476.75766	-0.011935724	-95.71207	0.6777714	0.0033368503	0.04725	79.0	14.948236227035522
3	33.216667	21.248602	105.0	9.0	33.216667	5.576407	0.9636991	8.78776	0.35297334	16000	3.33786e-08	434.04007	-0.01295597	-90.15616	0.66552615	0.0060256827	0.03475	79.0	19.50119400024414
4	54.916668	37.663994	155.0	13.0	54.916668	8.828981	0.7789708	10.697037	4.5417166	20000	-5.364418e-10	878.3826	-0.011305992	-195.65161	0.6487104	0.0016843566	0.025	79.0	24.05127739906311
5	62.38095	36.511982	143.0	13.0	62.38095	13.718373	1.1290188	16.714052	6.8333097	24000	4.053116e-08	711.34814	-0.011776685	-149.21875	0.6393199	0.0035312413	0.02325	79.0	28.127296686172485
6	81.02041	51.684082	200.0	19.0	81.02041	18.193445	0.4796439	19.487309	14.31487	28000	-1.4185906e-08	958.50507	-0.011403989	-185.89252	0.6355802	0.005751352	0.03	79.0	32.156681537628174
7	134.96552	58.84608	200.0	19.0	134.96552	23.104942	0.6811997	25.242302	19.569653	32000	7.939339e-08	1274.1558	-0.0054404465	-279.92102	0.61756223	0.0016939546	0.013	79.0	36.18469762802124
8	142.7037	64.304146	200.0	24.0	142.7037	28.756342	1.151949	31.737955	24.48199	36000	2.0921231e-08	1133.5171	-0.0042744568	-219.40594	0.6110159	0.0026412546	0.00825	79.0	40.25309348106384
9	164.58333	43.837692	200.0	46.0	164.58333	34.681522	1.9500992	38.502686	27.649822	40000	3.886223e-08	922.0693	-0.00381937	-157.6499	0.60243326	0.0057461993	0.03325	79.0	45.0282928943634
