Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.346369	11.656758	68.0	9.0	22.346369	-0.052576073	0.20195794	0.38253683	-0.9688772	4000	-1.1765957e-07	284.1198	-0.015858183	-18.70346	0.68782884	0.0053957207	0.113	79.0	6.211787700653076
1	26.39735	16.887268	90.0	9.0	26.39735	0.73112863	0.36542052	3.1482444	0.38162738	8000	4.053116e-09	426.30893	-0.015024116	-32.24289	0.68433434	0.00790673	0.063	79.0	11.025269508361816
2	28.492857	14.21694	81.0	10.0	28.492857	1.7662604	0.6004295	5.7738047	1.1360897	12000	9.6559525e-09	348.12463	-0.014590664	-41.380005	0.6814122	0.008855208	0.03675	79.0	15.636280059814453
3	39.137257	23.358267	174.0	11.0	39.137257	3.1557333	0.7046677	7.373258	1.6115689	16000	2.0861625e-08	615.7685	-0.0076605063	-88.33838	0.6612422	0.0015290655	0.01	79.0	20.19120216369629
4	41.17526	22.982292	135.0	11.0	41.17526	5.546393	0.9704633	12.816499	2.5045161	20000	1.9192695e-08	539.85046	-0.009286276	-89.12598	0.65081924	0.0030258463	0.017	79.0	24.80070734024048
5	51.657894	29.546375	172.0	13.0	51.657894	8.2702875	1.2959853	18.915243	4.30288	24000	4.2915342e-09	695.1999	-0.010903417	-127.98297	0.6419136	0.003663762	0.0195	79.0	29.662220001220703
6	70.42857	30.89548	141.0	12.0	70.42857	12.175064	2.529638	36.658527	9.108506	28000	3.6120415e-08	772.0882	-0.013241688	-151.86298	0.6346873	0.0041466807	0.038	79.0	34.34919357299805
7	90.11364	45.219273	200.0	14.0	90.11364	16.822231	3.1027796	37.917404	11.586275	32000	-3.629923e-08	1029.4293	-0.010653959	-198.0683	0.6286435	0.0058931345	0.0285	79.0	38.91492795944214
8	124.375	63.152966	200.0	12.0	124.375	21.604023	3.109989	47.3174	16.593952	36000	-1.09434126e-07	1376.6112	-0.008295838	-309.22522	0.61507654	0.004625414	0.0395	79.0	43.51981282234192
9	124.90625	57.888016	200.0	12.0	124.90625	27.178406	3.58881	46.396782	16.873672	40000	-2.4318695e-08	1016.6859	-0.006881013	-205.75977	0.61570805	0.0028901913	0.01375	79.0	48.4198534488678
